age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,annees_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,revenu_par_annee_exp,satisfaction_moyenne,hs_et_bas_salaire,ratio_anciennete_promotion,ratio_poste_entreprise,exp_par_age,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,departement_Ressources Humaines,poste_Autre,poste_Cadre Commercial,poste_Consultant,poste_Représentant Commercial,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Transformation Digitale
46,18947,3,22,2,2,0,2,2,4,1,2,1,2,3,1,4,2,3,0,12.0,823.7826086956521,2.25,0,0.6666666666666666,0.6666666666666666,0.10714285714285714,0,0,0,0,1,0,0,0,0,1,0
33,2496,4,7,1,1,0,3,2,3,1,0,0,3,3,4,4,3,3,0,11.0,312.0,3.5,0,1.0,0.5,0.26666666666666666,0,0,1,0,0,0,1,0,0,0,1
44,6465,2,9,4,2,0,5,10,4,1,1,3,4,3,4,4,4,3,1,13.0,646.5,4.0,0,2.0,0.4,0.07692307692307693,0,1,1,0,1,0,0,0,0,0,0
30,2206,1,10,10,0,0,5,9,2,1,1,8,4,2,3,1,3,3,0,13.0,200.54545454545453,2.75,0,5.0,0.0,0.08333333333333333,0,0,1,0,0,0,1,0,0,0,1
39,2086,3,19,1,0,1,6,5,3,1,0,0,4,3,4,3,4,3,0,14.0,104.3,3.75,0,1.0,0.0,0.14285714285714285,0,1,0,0,0,0,0,1,0,0,0
24,2293,2,6,2,0,1,2,1,3,1,2,0,2,3,4,1,2,3,1,16.0,327.57142857142856,2.25,1,0.6666666666666666,0.0,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,1
43,2645,1,6,5,3,2,3,2,2,1,1,4,4,4,3,4,2,3,0,12.0,377.85714285714283,3.25,0,2.5,0.5,0.04,1,0,1,0,0,0,0,0,0,0,1
50,2683,1,3,3,2,0,2,3,2,1,0,2,1,2,3,3,3,3,1,14.0,670.75,2.5,1,3.0,0.5,0.03125,0,1,0,0,0,0,0,1,0,1,0
35,2014,1,2,2,2,0,3,2,3,1,2,2,4,3,4,1,3,3,0,13.0,671.3333333333334,3.0,0,0.6666666666666666,0.6666666666666666,0.058823529411764705,0,1,0,0,0,0,0,1,0,1,0
36,3419,9,6,1,1,1,3,5,4,1,0,0,2,2,1,4,4,3,1,14.0,488.42857142857144,2.75,1,1.0,0.5,0.5,0,1,1,0,0,0,0,0,1,0,0
33,5376,2,10,5,3,2,3,1,3,2,1,3,3,4,1,1,3,3,0,19.0,488.72727272727275,2.0,0,2.5,0.5,0.13333333333333333,0,1,0,0,0,1,0,0,1,0,0
35,1951,1,1,1,0,1,3,4,2,1,0,0,3,3,4,3,3,3,0,12.0,975.5,3.25,0,1.0,0.0,0.058823529411764705,1,0,1,0,0,0,1,0,0,0,0
27,2341,1,1,1,0,1,6,2,4,1,0,0,4,3,1,4,3,3,0,13.0,1170.5,3.0,0,1.0,0.0,0.1111111111111111,1,0,1,0,0,0,1,0,1,0,0
26,2293,1,1,1,0,0,2,25,3,1,0,1,1,1,3,3,2,3,0,12.0,1146.5,2.25,0,1.0,0.0,0.125,0,0,1,0,0,0,1,0,1,0,0
27,8726,1,9,9,8,0,0,8,3,2,1,7,4,3,3,4,3,3,0,15.0,872.6,3.5,0,4.5,0.8,0.1111111111111111,0,0,0,0,0,1,0,0,1,0,0
30,4011,1,12,12,8,0,2,1,2,2,3,7,3,3,4,4,3,4,0,23.0,308.53846153846155,3.5,0,3.0,0.6153846153846154,0.08333333333333333,0,0,1,0,0,0,1,0,0,0,1
41,19545,1,23,22,15,0,0,12,3,1,15,8,2,3,3,4,3,3,0,12.0,814.375,3.0,0,1.375,0.6521739130434783,0.043478260869565216,0,1,1,0,1,0,0,0,0,0,0
34,4568,0,10,9,5,0,2,23,4,0,8,7,2,3,3,3,3,4,0,20.0,415.27272727272725,2.75,0,1.0,0.5,0.0,0,0,0,0,0,1,0,0,0,1,0
37,3022,4,8,1,0,0,1,19,2,1,0,0,2,3,2,1,3,4,0,21.0,335.77777777777777,2.0,0,1.0,0.0,0.21052631578947367,0,1,1,0,0,0,0,0,1,0,0
46,5772,4,14,9,6,0,4,5,4,2,0,8,1,3,4,3,3,4,1,21.0,384.8,2.75,0,9.0,0.6,0.14285714285714285,0,0,0,0,0,1,0,0,0,1,0
35,2269,1,1,1,0,0,2,8,1,1,0,1,4,4,4,4,3,3,0,19.0,1134.5,3.75,0,1.0,0.0,0.058823529411764705,0,1,1,0,0,0,1,0,1,0,0
48,5381,9,23,1,0,0,2,1,2,1,0,0,1,2,3,4,3,3,1,13.0,224.20833333333334,2.75,0,1.0,0.0,0.3,0,0,1,0,0,0,1,0,1,0,0
28,3441,1,2,2,2,0,3,5,4,1,2,2,3,3,3,3,2,3,1,13.0,1147.0,2.75,1,0.6666666666666666,0.6666666666666666,0.1,0,0,1,0,0,0,1,0,0,0,0
44,5454,5,9,4,3,1,2,1,5,1,1,3,2,3,1,3,2,4,1,21.0,545.4,2.0,0,2.0,0.6,0.19230769230769232,1,0,0,0,0,1,0,0,0,1,0
35,9884,2,10,4,0,1,3,11,2,0,2,3,3,2,1,3,3,3,1,13.0,898.5454545454545,2.5,0,1.3333333333333333,0.0,0.11764705882352941,0,1,1,0,1,0,0,0,0,0,1
26,4157,7,5,2,2,1,2,23,3,1,0,0,3,2,4,3,2,3,1,19.0,692.8333333333334,3.0,1,2.0,0.6666666666666666,0.875,0,1,0,0,0,1,0,0,0,1,0
33,13458,1,15,15,14,0,1,1,2,2,8,12,1,3,4,3,3,3,1,12.0,841.125,2.75,0,1.6666666666666667,0.875,0.06666666666666667,0,0,1,0,1,0,0,0,1,0,0
35,9069,1,9,9,8,1,3,18,5,2,1,8,2,3,1,4,2,4,0,22.0,906.9,2.25,0,4.5,0.8,0.058823529411764705,0,1,0,0,0,1,0,0,1,0,0
35,4014,3,4,2,2,1,3,23,4,1,2,2,3,3,1,3,3,3,1,15.0,802.8,2.5,1,0.6666666666666666,0.6666666666666666,0.17647058823529413,0,1,1,0,0,0,1,0,0,0,1
31,5915,3,10,7,7,1,3,7,4,1,1,7,4,3,4,4,2,4,0,22.0,537.7272727272727,3.5,0,3.5,0.875,0.23076923076923078,1,0,1,0,0,0,1,0,1,0,0
37,5993,1,7,7,5,1,2,1,4,1,0,7,1,2,3,3,4,3,0,18.0,749.125,2.75,0,7.0,0.625,0.05263157894736842,1,0,1,0,1,0,0,0,1,0,0
32,6162,1,9,9,8,1,3,1,3,1,7,8,1,3,4,2,3,4,1,22.0,616.2,2.5,0,1.125,0.8,0.07142857142857142,0,1,1,0,1,0,0,0,0,0,1
38,2406,1,10,10,3,0,2,29,5,2,9,9,4,3,4,4,3,3,0,11.0,218.72727272727272,3.75,0,1.0,0.2727272727272727,0.05,0,0,1,0,0,0,1,0,1,0,0
50,18740,5,29,27,3,1,2,7,2,1,13,8,2,2,3,4,2,3,1,12.0,624.6666666666666,2.75,0,1.9285714285714286,0.10714285714285714,0.15625,1,0,1,0,1,0,0,0,0,0,1
59,7637,7,28,21,16,0,3,25,3,1,7,9,1,3,1,4,2,3,0,11.0,263.3448275862069,2.0,0,2.625,0.7272727272727273,0.17073170731707318,0,0,0,0,0,1,0,0,1,0,0
36,10096,1,17,17,14,3,2,8,3,1,12,8,3,3,3,2,3,3,0,13.0,560.8888888888889,2.75,0,1.3076923076923077,0.7777777777777778,0.05555555555555555,1,0,1,0,1,0,0,0,0,0,0
55,14756,2,21,5,0,3,2,8,3,1,0,2,4,3,3,3,3,3,1,14.0,670.7272727272727,3.25,0,5.0,0.0,0.05405405405405406,1,0,1,0,1,0,0,0,0,0,1
36,6499,1,6,6,5,0,3,11,3,2,0,3,2,2,2,3,3,3,0,13.0,928.4285714285714,2.5,0,6.0,0.7142857142857143,0.05555555555555555,0,0,1,0,1,0,0,0,1,0,0
45,9724,2,25,1,0,1,2,7,3,1,0,0,2,3,1,3,3,3,0,17.0,374.0,2.25,0,1.0,0.0,0.07407407407407407,1,0,1,0,0,0,0,0,1,0,0
35,2194,4,5,3,2,1,2,1,3,2,1,2,2,3,1,4,2,3,0,13.0,365.6666666666667,2.25,0,1.5,0.5,0.23529411764705882,0,1,1,0,0,0,0,0,0,0,1
36,3388,0,2,1,0,1,0,9,3,1,0,0,4,2,3,1,2,3,1,17.0,1129.3333333333333,2.5,1,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1
59,5473,7,20,4,3,0,2,1,1,2,1,3,1,2,3,4,2,3,0,11.0,260.6190476190476,2.5,0,2.0,0.6,0.17073170731707318,0,0,0,0,0,1,0,0,1,0,0
29,2703,0,6,5,4,1,3,2,3,1,0,4,3,3,2,4,3,4,0,23.0,386.14285714285717,3.0,0,5.0,0.6666666666666666,0.0,0,1,1,0,0,0,0,0,1,0,0
31,2501,1,1,1,1,0,4,1,4,1,1,0,3,3,2,2,3,3,0,17.0,1250.5,2.5,0,0.5,0.5,0.07692307692307693,0,0,1,0,0,0,0,0,0,0,1
32,6220,1,10,10,4,2,3,1,3,1,0,9,2,3,2,2,3,3,0,17.0,565.4545454545455,2.25,0,10.0,0.36363636363636365,0.07142857142857142,0,1,1,0,0,0,0,0,1,0,0
36,3038,3,5,1,0,0,3,6,3,1,0,0,2,4,4,2,3,3,0,12.0,506.3333333333333,2.75,0,1.0,0.0,0.16666666666666666,0,1,1,0,0,0,1,0,1,0,0
31,4424,1,11,11,7,0,2,8,4,1,1,8,3,3,4,4,3,4,0,23.0,368.6666666666667,3.5,0,5.5,0.5833333333333334,0.07692307692307693,0,0,1,0,1,0,0,0,1,0,0
35,4312,0,16,15,13,0,2,1,4,1,2,8,3,2,1,2,3,3,0,14.0,253.64705882352942,2.25,0,5.0,0.8125,0.0,0,0,0,0,0,1,0,0,0,1,0
45,13245,4,17,0,0,0,3,6,4,1,0,0,4,3,1,2,4,3,1,14.0,735.8333333333334,2.75,0,0.0,0.0,0.14814814814814814,0,1,1,0,1,0,0,0,0,0,0
37,13664,4,16,5,2,0,3,7,4,1,0,2,1,3,3,1,4,3,0,13.0,803.7647058823529,2.25,0,5.0,0.3333333333333333,0.21052631578947367,0,0,1,0,1,0,0,0,0,0,1
46,5021,8,16,4,2,1,2,5,2,1,0,2,2,3,2,4,3,4,1,22.0,295.3529411764706,2.75,0,4.0,0.4,0.2857142857142857,1,0,0,1,1,0,0,0,0,0,1
30,5126,1,10,10,8,2,1,1,1,1,3,0,4,2,4,3,2,3,1,12.0,466.0,3.25,0,2.5,0.7272727272727273,0.08333333333333333,0,1,1,0,0,0,1,0,1,0,0
35,2859,1,6,6,4,0,3,1,3,1,0,4,2,2,3,1,3,3,0,18.0,408.42857142857144,2.25,0,6.0,0.5714285714285714,0.058823529411764705,0,0,1,0,0,0,0,0,0,0,1
55,10239,3,24,1,0,1,4,1,2,1,1,0,1,3,4,4,3,3,0,14.0,409.56,3.0,0,0.5,0.0,0.08108108108108109,0,1,0,0,0,1,0,0,1,0,0
38,5329,7,17,13,11,3,3,6,3,0,1,9,2,1,4,4,3,3,1,12.0,296.05555555555554,3.25,0,6.5,0.7857142857142857,0.35,1,0,1,0,0,0,0,0,0,0,1
34,4325,1,5,5,2,0,2,1,2,1,1,3,1,3,2,3,3,3,0,15.0,720.8333333333334,2.25,0,2.5,0.3333333333333333,0.0625,0,1,1,0,1,0,0,0,0,0,1
56,7260,4,37,6,4,0,3,7,3,1,0,2,4,1,4,1,2,3,0,11.0,191.05263157894737,2.75,0,6.0,0.5714285714285714,0.10526315789473684,0,0,1,0,1,0,0,0,1,0,0
23,2322,3,3,0,0,1,3,2,1,1,0,0,3,3,1,3,3,3,0,13.0,580.5,2.5,0,0.0,0.0,0.6,1,0,0,0,0,0,0,1,0,0,0
51,2075,3,10,4,2,2,4,9,4,1,0,3,4,3,4,2,3,4,0,23.0,188.63636363636363,3.25,0,4.0,0.4,0.09090909090909091,0,1,1,0,0,0,1,0,1,0,0
30,4152,1,11,11,10,3,3,2,3,1,10,8,3,2,4,1,3,3,0,19.0,346.0,2.75,0,1.0,0.8333333333333334,0.08333333333333333,0,1,1,0,1,0,0,0,1,0,0
46,9619,1,9,9,8,0,3,9,2,1,4,7,3,2,4,4,3,3,0,16.0,961.9,3.5,0,1.8,0.8,0.03571428571428571,0,0,0,0,0,1,0,0,0,0,1
40,13503,1,22,22,3,1,3,1,4,2,11,11,3,2,2,4,2,4,0,22.0,587.0869565217391,2.75,0,1.8333333333333333,0.13043478260869565,0.045454545454545456,0,1,1,0,1,0,0,0,1,0,0
51,5441,0,11,10,7,0,2,21,4,1,1,0,3,3,4,4,1,4,1,22.0,453.4166666666667,3.0,0,5.0,0.6363636363636364,0.0,0,0,0,0,0,1,0,0,0,1,0
30,5209,1,11,11,8,3,4,4,2,1,2,7,3,2,2,2,2,3,1,12.0,434.0833333333333,2.25,0,3.6666666666666665,0.6666666666666666,0.08333333333333333,1,0,0,0,0,1,0,0,0,0,1
46,10673,2,21,10,9,1,5,1,3,2,9,5,3,2,1,3,2,3,1,13.0,485.1363636363636,2.25,0,1.0,0.8181818181818182,0.07142857142857142,0,1,1,0,1,0,0,0,0,0,1
32,5010,1,12,11,8,0,0,6,4,1,5,7,2,3,3,1,3,3,0,16.0,385.38461538461536,2.25,0,1.8333333333333333,0.6666666666666666,0.07142857142857142,0,0,0,0,0,1,0,0,0,0,1
54,13549,9,16,4,3,1,5,2,4,1,0,3,1,3,3,1,1,3,0,12.0,797.0,1.5,0,4.0,0.6,0.25,0,1,1,0,1,0,0,0,0,0,0
24,4999,0,4,3,2,1,2,3,2,1,0,2,1,3,3,1,2,4,0,21.0,999.8,1.75,0,3.0,0.5,0.0,0,1,0,0,0,1,0,0,0,0,0
28,4221,1,5,5,4,0,3,4,3,0,0,4,2,3,3,2,4,3,0,15.0,703.5,2.75,0,5.0,0.6666666666666666,0.1,0,1,0,0,0,1,0,0,0,0,1
58,13872,0,38,37,10,0,1,10,4,1,1,8,4,3,3,3,2,3,0,13.0,355.6923076923077,3.0,0,18.5,0.2631578947368421,0.0,0,0,0,0,0,1,0,0,0,0,1
44,2042,4,17,3,2,1,3,23,3,0,1,2,2,3,2,3,4,3,0,12.0,113.44444444444444,2.75,0,1.5,0.5,0.15384615384615385,0,1,1,0,0,0,1,0,0,0,1
37,2073,4,7,3,2,0,3,6,4,1,0,2,3,3,1,4,3,4,1,22.0,259.125,2.75,1,3.0,0.5,0.21052631578947367,1,0,0,1,1,0,0,0,0,0,0
32,2956,1,1,1,0,0,2,1,1,1,0,0,4,3,1,4,3,3,0,13.0,1478.0,3.0,0,1.0,0.0,0.07142857142857142,0,0,1,0,0,0,0,0,1,0,0
20,2926,1,1,1,0,0,5,6,3,2,1,0,4,2,4,2,3,3,1,18.0,1463.0,3.25,1,0.5,0.0,0.5,0,0,1,0,0,0,1,0,1,0,0
34,4809,1,16,16,13,0,3,6,4,1,2,10,1,3,3,3,3,3,0,14.0,282.88235294117646,2.5,0,5.333333333333333,0.7647058823529411,0.0625,0,0,1,0,0,0,0,0,0,0,0
37,5163,5,17,1,0,1,2,2,2,0,0,0,3,2,4,4,4,3,0,14.0,286.8333333333333,3.75,0,1.0,0.0,0.2631578947368421,1,0,1,0,1,0,0,0,1,0,0
59,18844,9,30,3,2,1,3,2,4,0,2,2,3,2,4,4,3,4,0,21.0,607.8709677419355,3.5,0,1.0,0.5,0.21951219512195122,0,1,0,1,1,0,0,0,0,0,0
50,18172,3,28,8,3,0,1,1,3,2,0,7,1,3,2,1,2,3,1,19.0,626.6206896551724,1.5,0,8.0,0.3333333333333333,0.09375,0,1,1,0,1,0,0,0,1,0,0
25,5744,1,6,6,4,0,1,5,3,1,0,3,3,2,3,4,3,3,1,11.0,820.5714285714286,3.25,0,6.0,0.5714285714285714,0.14285714285714285,0,0,0,0,0,1,0,0,0,1,0
25,2889,1,2,2,2,2,2,7,1,1,2,1,4,2,4,3,3,3,0,11.0,963.0,3.5,0,0.6666666666666666,0.6666666666666666,0.14285714285714285,0,1,1,0,0,0,0,0,0,0,1
22,2871,1,1,0,0,0,5,15,3,1,0,0,2,3,4,3,3,3,0,15.0,1435.5,3.0,0,0.0,0.0,0.25,0,0,1,0,0,0,1,0,0,0,1
51,7484,3,23,13,12,0,1,1,4,2,12,8,1,2,1,3,2,4,0,20.0,311.8333333333333,1.75,0,1.0,0.8571428571428571,0.09090909090909091,0,0,1,0,1,0,0,0,0,0,1
34,6074,1,9,9,7,0,3,7,3,2,0,6,1,1,3,4,3,4,1,24.0,607.4,2.75,0,9.0,0.7,0.0625,0,0,1,0,0,0,1,0,1,0,0
54,17328,2,23,5,3,0,3,26,3,0,4,4,4,4,4,3,3,3,1,12.0,722.0,3.5,0,1.0,0.5,0.05555555555555555,0,0,0,1,1,0,0,0,0,0,0
24,2774,0,6,5,3,1,2,18,1,1,1,2,2,3,3,3,3,3,0,12.0,396.2857142857143,2.75,0,2.5,0.5,0.0,0,1,1,0,0,0,1,0,1,0,0
34,4505,6,12,1,0,1,3,6,4,1,0,0,3,2,2,3,3,3,0,15.0,346.53846153846155,2.75,0,1.0,0.0,0.375,1,0,1,0,0,0,0,0,1,0,0
37,7428,2,12,5,3,0,3,3,3,1,1,3,3,3,4,1,3,3,0,12.0,571.3846153846154,2.75,0,2.5,0.5,0.10526315789473684,0,0,0,0,0,1,0,0,1,0,0
34,11631,2,14,11,10,0,6,5,3,1,5,8,3,2,1,4,3,3,0,12.0,775.4,2.75,0,1.8333333333333333,0.8333333333333334,0.125,0,0,1,0,1,0,0,0,0,0,1
36,9738,0,10,9,7,1,6,11,2,2,2,8,2,3,4,3,3,3,0,14.0,885.2727272727273,3.0,0,3.0,0.7,0.0,0,1,0,0,0,1,0,0,0,0,0
36,2835,5,7,1,0,1,2,3,2,1,0,0,1,3,4,1,3,4,0,22.0,354.375,2.25,0,1.0,0.0,0.2777777777777778,1,0,1,0,0,0,1,0,1,0,0
43,16959,1,25,25,12,2,3,26,2,2,4,12,3,3,4,4,4,3,1,12.0,652.2692307692307,3.75,0,5.0,0.46153846153846156,0.04,0,1,0,0,1,0,0,0,1,0,0
30,2613,1,10,10,7,3,2,23,3,2,0,9,1,1,3,3,2,4,0,25.0,237.54545454545453,2.25,0,10.0,0.6363636363636364,0.08333333333333333,1,0,1,0,0,0,0,0,1,0,0
33,6146,0,8,7,7,1,2,22,2,0,0,7,3,3,2,1,4,3,0,13.0,682.8888888888889,2.5,0,7.0,0.875,0.0,0,1,0,0,0,1,0,0,0,1,0
56,4963,9,7,5,4,3,2,14,4,1,4,3,2,3,2,1,3,3,1,18.0,620.375,2.0,0,1.0,0.6666666666666666,0.23684210526315788,0,1,1,0,0,0,0,0,1,0,0
51,19537,7,23,20,18,0,5,6,3,1,15,15,1,3,3,3,3,3,0,13.0,814.0416666666666,2.5,0,1.25,0.8571428571428571,0.21212121212121213,0,0,1,0,1,0,0,0,1,0,0
31,6172,4,12,7,7,0,3,6,4,1,7,7,2,1,3,2,2,3,1,18.0,474.7692307692308,2.25,0,0.875,0.875,0.3076923076923077,0,1,0,0,0,1,0,0,1,0,0
26,2368,1,5,5,4,0,3,6,3,1,4,3,3,2,2,3,2,3,0,19.0,394.6666666666667,2.5,0,1.0,0.6666666666666666,0.125,0,1,1,0,0,0,0,0,0,0,0
58,10312,1,40,40,10,1,3,23,4,1,15,6,4,3,4,4,2,3,0,12.0,251.5121951219512,3.5,0,2.5,0.24390243902439024,0.025,0,1,1,0,1,0,0,0,0,0,1
19,1675,1,0,0,0,0,2,22,1,1,0,0,4,3,3,4,2,3,1,19.0,1675.0,3.25,1,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0
22,2523,0,3,2,1,1,2,2,1,1,2,1,3,3,4,3,3,3,0,14.0,630.75,3.25,0,0.6666666666666666,0.3333333333333333,0.0,0,1,1,0,0,0,1,0,0,0,0
49,6567,1,16,15,11,0,2,20,4,1,5,11,3,3,1,3,2,3,0,14.0,386.29411764705884,2.25,0,2.5,0.6875,0.03225806451612903,0,1,1,0,1,0,0,0,0,0,1
43,4739,4,18,3,2,0,2,28,3,2,1,2,2,4,3,4,3,3,0,12.0,249.42105263157896,3.0,0,1.5,0.5,0.16,0,0,1,0,0,0,0,0,0,0,1
50,9208,4,16,2,2,0,3,12,3,2,2,1,3,3,4,4,3,3,0,11.0,541.6470588235294,3.5,0,0.6666666666666666,0.6666666666666666,0.125,0,0,0,0,0,1,0,0,0,1,0
31,4559,3,4,2,2,1,2,20,3,1,2,2,2,1,3,3,3,3,1,11.0,911.8,2.75,1,0.6666666666666666,0.6666666666666666,0.23076923076923078,0,1,0,0,0,1,0,0,1,0,0
41,8189,3,12,9,7,1,2,9,1,1,0,7,3,3,3,3,3,3,1,13.0,629.9230769230769,3.0,0,9.0,0.7,0.13043478260869565,1,0,0,0,0,1,0,0,1,0,0
